,country,date,decimal,indicator,value
0,"{'id': 'PR', 'value': 'Puerto Rico'}",2018,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",
1,"{'id': 'PR', 'value': 'Puerto Rico'}",2017,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",26.8129263490873
2,"{'id': 'PR', 'value': 'Puerto Rico'}",2016,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",27.314943646727
3,"{'id': 'PR', 'value': 'Puerto Rico'}",2015,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",27.9319743014411
4,"{'id': 'PR', 'value': 'Puerto Rico'}",2014,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",28.5441474635625
5,"{'id': 'PR', 'value': 'Puerto Rico'}",2013,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",29.2038828301172
6,"{'id': 'PR', 'value': 'Puerto Rico'}",2012,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",29.8690252811474
7,"{'id': 'PR', 'value': 'Puerto Rico'}",2011,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",30.4901050634102
8,"{'id': 'PR', 'value': 'Puerto Rico'}",2010,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",31.0493453250189
9,"{'id': 'PR', 'value': 'Puerto Rico'}",2009,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",31.7225758174767
10,"{'id': 'PR', 'value': 'Puerto Rico'}",2008,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",32.3635190171137
11,"{'id': 'PR', 'value': 'Puerto Rico'}",2007,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",32.9425678321229
12,"{'id': 'PR', 'value': 'Puerto Rico'}",2006,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",33.4545690199351
13,"{'id': 'PR', 'value': 'Puerto Rico'}",2005,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",33.9387456857189
14,"{'id': 'PR', 'value': 'Puerto Rico'}",2004,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",34.4504901665317
15,"{'id': 'PR', 'value': 'Puerto Rico'}",2003,0,"{'id': 'SP.POP.DPND.YG', 'value': 'Age dependency ratio, young (% of working-age population)'}",34.8905575306199
