,bajo_nivel_pobreza,codigo,direccio_estado,direccio_fisica,direccion_municipio,direccion_zipcode,director,distrito,escuela,espa_ol_avanzado,espa_ol_b_sico,espa_ol_pre_b_sico,espa_ol_proficiente,espa_ol_proficiente_avanzado,estatus_actual,fax,geolocalizacion,grado_1,grado_10,grado_11,grado_12,grado_2,grado_3,grado_4,grado_5,grado_6,grado_7,grado_8,grado_9,grado_infant,grado_k,grado_pk,grado_pke,grado_pkm,grado_sge,grado_sgi,grado_sgs,grado_toddler,grados_original,grados_posterior,ingl_s_avanzado,ingl_s_b_sico,ingl_s_pre_b_sico,ingl_s_proficiente,ingl_s_proficiente_avanzado,matem_ticas_avanzado,matem_ticas_b_sico,matem_ticas_pre_b_sico,matem_ticas_proficiente,matem_ticas_proficiente_avanzado,matricula_total,municipio_escolar,nivel_original,region,table_id,telefono,zona
0,86.24,35295,PR,CARR ESTATAL 200 ESQ CARR ESTATAL 993,VIEQUES,00765-1554,MYRIAM R RODRIGUEZ RODRIGUEZ,FAJARDO,20 DE SEPTIEMBRE DE 1988,6.88,37.61,40.83,14.68,21.56,SI,876-2804,"{'latitude': '18.14372', 'longitude': '-65.44178'}",,,,,,,,,74,71,61,,,,,,,,12,,,"7 - 9 , EEI","7 - 9 , EEI",5.05,26.15,54.59,14.22,19.27,0,52.75,45.87,1.38,1.38,218,VIEQUES,INTERMEDIO,HUMACAO,1,741-3091,URBANA
1,86.69,57323,PR,BO QUEBRADA CALLE 1 SECT CARACOLES,PENUELAS,00624-0000,GLORIA GARCIA,YAUCO,MIGUEL GONZALEZ BAUZA,15.03,52.29,16.99,15.69,30.72,SI,836-2597,"{'latitude': '18.05554', 'longitude': '-66.71168'}",37,,,,49,40,33,40,37,,,,,32,,5,,7,,,,"PK - 6 , EEE","PK - 6 , EEE",8.61,40.40,41.72,9.27,17.88,12.42,52.94,17.65,16.99,29.41,280,PEÑUELAS,ELEMENTAL,PONCE,759,836-2597,RURAL
2,65.31,23218,PR,URB REPARTO MONTEBANCO CALLE D,CAYEY,00737-0000,WANDA I.CARTAGENA ORTIZ,CIDRA,MIGUEL MELENDEZ MUNOZ,32.84,31.34,7.46,28.36,61.19,SI,263-3044,"{'latitude': '18.1174', 'longitude': '-66.14892'}",45,,,,44,49,54,48,,,,,,30,,,,8,,,,"K - 6 , EEE","K - 6 , EEE",24.38,30.85,9.45,35.32,59.70,28.36,39.30,10.45,21.89,50.25,278,CAYEY,ELEMENTAL,CAGUAS,760,738-2058,URBANA
3,65.71,23531,PR,AVE ANTONIO R BARCELO FRENTE CUC,CAYEY,00737-0000,PEDRO SANCHEZ,CIDRA,MIGUEL MELENDEZ MUNOZ,23.98,43.27,10.53,22.22,46.20,SI,738-9065,"{'latitude': '18.116', 'longitude': '-66.16099'}",,212,179,173,,,,,,,,198,,,,,,,,,,12-Oct,12-Oct,23.67,34.32,15.98,26.04,49.70,12.72,59.54,10.40,17.34,30.06,762,CAYEY,SUPERIOR,CAGUAS,761,738-3078,URBANA
4,63.10,70276,PR,CARR 840 KM 1 HM 1 SECTOR LA ALDEA,BAYAMON,00960-3169,MARIA JUDITH VAZQUEZ FONTANEZ,BAYAMON,MIGUEL MELENDEZ MUNOZ,44.59,33.78,13.51,8.11,52.70,SI,799-6500,"{'latitude': '18.36999', 'longitude': '-66.17751'}",,156,148,127,,,,,,,,146,,,,,,,,,,12-Oct,12-Oct,23.65,27.03,27.03,22.30,45.95,18.24,45.27,19.59,16.89,35.14,577,BAYAMON II,SUPERIOR,BAYAMON,762,799-7300,RURAL
5,85.34,62398,PR,AVE BARBOSA ESQ AVE PINERO,SAN JUAN,-924,LUZ CELESTE ABREU,SAN JUAN II,MIGUEL SUCH,11.56,51.70,11.90,24.83,36.39,SI,767-2625,"{'latitude': '18.40972', 'longitude': '-66.04326'}",,281,315,253,,,,,,,,230,,,,,,,,69,,"10 - 12 , EES","10 - 12 , EES",12.29,32.08,36.52,19.11,31.40,0,69.97,29.69,0.34,0.34,1148,SAN JUAN IV,SUPERIOR,SAN JUAN,763,751-3780,URBANA
6,73.91,46987,PR,CARR 101 KM 18 HM 2,CABO ROJO,00622-1235,LEROY ALICEA CABASSA,CABO ROJO,MONSERRATE LEON IRIZARRY,24.77,37.61,4.59,33.03,57.80,SI,254-2233,"{'latitude': '18.02742', 'longitude': '-67.16392'}",,110,118,112,,,,,,,,244,,,,,,,,,,12-Oct,12-Oct,26.61,34.86,12.84,25.69,52.29,2.75,67.89,21.10,8.26,11.01,584,CABO ROJO,SUPERIOR,MAYAGUEZ,765,254-2288,RURAL
7,75.73,23135,PR,CALLE 33 BONNEVILLE HEIGTS,CAGUAS,7264952,IRMA RODRIGUEZ SOTO,GURABO,MYRNA M FUENTES,37.86,31.07,2.91,28.16,66.02,SI,704-0235,"{'latitude': '18.22953', 'longitude': '-66.04733'}",41,,,,30,36,29,29,,,,,,39,13,,,22,,,,"PK - 6 , EEE","PK - 6 , EEE",12.75,42.16,16.67,28.43,41.18,28.16,28.16,0.97,42.72,70.87,239,CAGUAS II,ELEMENTAL,CAGUAS,767,744-2231,URBANA
8,80.43,17871,PO BOX 1605,CARR 155 INT AVE LUIS M MARIN,OROCOVIS,7200000,MARIA E ALVARADO,OROCOVIS,NELIDA MELENDEZ MELENDEZ,57.32,14.65,0.64,27.39,84.71,SI,867-7448,"{'latitude': '18.22935', 'longitude': '-66.39222'}",54,,,,42,45,54,57,58,49,59,,,50,16,,,15,,,,"K - 6 , EEE","K - 8, EEE, EEI",44.59,18.47,2.55,34.39,78.98,53.50,12.10,0.64,33.76,87.26,499,OROCOVIS,ELEMENTAL,BAYAMON,769,867-2840,URBANA
9,99.54,65946,PR,RES NEMESIO CANALES,SAN JUAN,00936-0000,DORIS M. TRAVERSO VAZQUEZ,SAN JUAN I,NEMESIO R CANALES I,8.33,44.44,36.57,10.65,18.98,SI,782-6539,"{'latitude': '18.422', 'longitude': '-66.07912'}",43,,,,44,44,39,,,,1,,,44,,,,15,,,,"K - 3 , EEE","K - 3 , EEE",0.46,29.49,58.06,11.98,12.44,10.60,41.47,39.17,8.76,19.35,230,SAN JUAN II,ELEMENTAL,SAN JUAN,770,782-6539,URBANA
