,country,date,decimal,indicator,value
0,"{'id': 'PR', 'value': 'Puerto Rico'}",2018,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",
1,"{'id': 'PR', 'value': 'Puerto Rico'}",2017,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3325001
2,"{'id': 'PR', 'value': 'Puerto Rico'}",2016,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3406495
3,"{'id': 'PR', 'value': 'Puerto Rico'}",2015,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3473166
4,"{'id': 'PR', 'value': 'Puerto Rico'}",2014,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3534874
5,"{'id': 'PR', 'value': 'Puerto Rico'}",2013,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3593077
6,"{'id': 'PR', 'value': 'Puerto Rico'}",2012,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3634488
7,"{'id': 'PR', 'value': 'Puerto Rico'}",2011,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3678732
8,"{'id': 'PR', 'value': 'Puerto Rico'}",2010,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3721525
9,"{'id': 'PR', 'value': 'Puerto Rico'}",2009,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3740410
10,"{'id': 'PR', 'value': 'Puerto Rico'}",2008,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3760866
11,"{'id': 'PR', 'value': 'Puerto Rico'}",2007,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3782995
12,"{'id': 'PR', 'value': 'Puerto Rico'}",2006,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3805214
13,"{'id': 'PR', 'value': 'Puerto Rico'}",2005,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3821362
14,"{'id': 'PR', 'value': 'Puerto Rico'}",2004,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3826878
15,"{'id': 'PR', 'value': 'Puerto Rico'}",2003,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3826095
16,"{'id': 'PR', 'value': 'Puerto Rico'}",2002,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3823701
17,"{'id': 'PR', 'value': 'Puerto Rico'}",2001,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3818774
18,"{'id': 'PR', 'value': 'Puerto Rico'}",2000,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3810605
19,"{'id': 'PR', 'value': 'Puerto Rico'}",1999,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3800081
20,"{'id': 'PR', 'value': 'Puerto Rico'}",1998,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3781101
21,"{'id': 'PR', 'value': 'Puerto Rico'}",1997,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3759430
22,"{'id': 'PR', 'value': 'Puerto Rico'}",1996,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3724655
23,"{'id': 'PR', 'value': 'Puerto Rico'}",1995,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3683103
24,"{'id': 'PR', 'value': 'Puerto Rico'}",1994,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3649237
25,"{'id': 'PR', 'value': 'Puerto Rico'}",1993,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3615497
26,"{'id': 'PR', 'value': 'Puerto Rico'}",1992,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3585176
27,"{'id': 'PR', 'value': 'Puerto Rico'}",1991,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3562110
28,"{'id': 'PR', 'value': 'Puerto Rico'}",1990,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3537000
29,"{'id': 'PR', 'value': 'Puerto Rico'}",1989,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3505650
30,"{'id': 'PR', 'value': 'Puerto Rico'}",1988,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3473898
31,"{'id': 'PR', 'value': 'Puerto Rico'}",1987,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3441850
32,"{'id': 'PR', 'value': 'Puerto Rico'}",1986,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3409554
33,"{'id': 'PR', 'value': 'Puerto Rico'}",1985,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3377000
34,"{'id': 'PR', 'value': 'Puerto Rico'}",1984,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3344190
35,"{'id': 'PR', 'value': 'Puerto Rico'}",1983,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3311138
36,"{'id': 'PR', 'value': 'Puerto Rico'}",1982,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3277453
37,"{'id': 'PR', 'value': 'Puerto Rico'}",1981,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3242552
38,"{'id': 'PR', 'value': 'Puerto Rico'}",1980,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3206000
39,"{'id': 'PR', 'value': 'Puerto Rico'}",1979,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3168088
40,"{'id': 'PR', 'value': 'Puerto Rico'}",1978,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3129421
41,"{'id': 'PR', 'value': 'Puerto Rico'}",1977,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3088690
42,"{'id': 'PR', 'value': 'Puerto Rico'}",1976,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",3043854
43,"{'id': 'PR', 'value': 'Puerto Rico'}",1975,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2994000
44,"{'id': 'PR', 'value': 'Puerto Rico'}",1974,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2939299
45,"{'id': 'PR', 'value': 'Puerto Rico'}",1973,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2878786
46,"{'id': 'PR', 'value': 'Puerto Rico'}",1972,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2817256
47,"{'id': 'PR', 'value': 'Puerto Rico'}",1971,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2762190
48,"{'id': 'PR', 'value': 'Puerto Rico'}",1970,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2718000
49,"{'id': 'PR', 'value': 'Puerto Rico'}",1969,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2684150
50,"{'id': 'PR', 'value': 'Puerto Rico'}",1968,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2662064
51,"{'id': 'PR', 'value': 'Puerto Rico'}",1967,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2645674
52,"{'id': 'PR', 'value': 'Puerto Rico'}",1966,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2624995
53,"{'id': 'PR', 'value': 'Puerto Rico'}",1965,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2594000
54,"{'id': 'PR', 'value': 'Puerto Rico'}",1964,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2554066
55,"{'id': 'PR', 'value': 'Puerto Rico'}",1963,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2504530
56,"{'id': 'PR', 'value': 'Puerto Rico'}",1962,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2450322
57,"{'id': 'PR', 'value': 'Puerto Rico'}",1961,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2399722
58,"{'id': 'PR', 'value': 'Puerto Rico'}",1960,0,"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}",2358000
